FID;OBJECTID;SHAPE;WC_ID;BEZIRK;STRASSE;ORTSANGABE;AKTIV;AKTIV_TXT;OEFFNUNGSZEIT;EINSCHRAENKUNGEN;PERSONALBETREUUNG;KATEGORIE;AUSSTATTUNG;ICON;ICON_TXT;KONTAKT;ABTEILUNG;INFORMATION;SE_ANNO_CAD_DATA
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da8;104218;POINT (16.43082990877495 48.214479284904684);M45_MWC19;22;Donauinsel;Grillplatz Nr. 9 und 10;-1;JA;00:00-24:00 Uhr;ganzjährig ohne Einschränkungen;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da7;104219;POINT (16.43784064949649 48.215093325447356);M45_MWC29;22;An der unteren Alten Donau;ggü. 273;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da6;104220;POINT (16.43786999489534 48.21502881186946);M45_MWC67;22;An der unteren Alten Donau;ggü. 273;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da5;104221;POINT (16.439029793312862 48.211734483969856);M45_BKZ03;22;Neue Donau;Barbados Inseltreff;-1;JA;11:00-23:00 Uhr;Wintersperre;11 - 23 Uhr - gratis;;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da4;104222;POINT (16.447001783826824 48.20609394787114);M45_MWC05;22;Neue Donau;Hundebadebereich - Hundeauslaufzone;-1;JA;00:00-24:00 Uhr;ganzjährig ohne Einschränkungen;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da3;104223;POINT (16.450550578600705 48.204069846589185);M45_MWC09;22;Neue Donau;Grillzone Steinspornbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da2;104224;POINT (16.452013053235245 48.20309379006931);M45_MWC06;22;Neue Donau;Grillzone Steinspornbrücke;-1;JA;00:00-24:00 Uhr;ganzjährig ohne Einschränkungen;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da1;104225;POINT (16.451987241863467 48.20311217126481);M45_MWC07;22;Neue Donau;Grillzone Steinspornbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6da0;104226;POINT (16.450729066989666 48.20396009262348);M45_MWC08;22;Neue Donau;Grillzone Steinspornbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6d9f;104227;POINT (16.45835394531293 48.198880952017916);M45_MWC10;22;Neue Donau;Grillzone Steinspornbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
